joint,lower_rad,upper_rad,kinematic_rotation_deg,kinematic_motion_gate,axis_sweep_samples,self_collision_samples,self_collision_pairs,axis_collision_gate,dynamic_test_torque_nm,dynamic_angle_delta_rad,dynamic_response_gate,status
right_shoulder_pitch,-0.471238890,0.471238890,53.999999,PASS,101,0,,PASS,0.5,0.170263933,PASS,PASS
right_shoulder_yaw,-0.471238890,0.141371667,35.099999,PASS,101,0,,PASS,-0.5,0.170261417,PASS,PASS
right_elbow_yaw,-0.293215320,0.366519150,37.800001,PASS,101,0,,PASS,0.5,0.172321804,PASS,PASS
left_shoulder_pitch,-0.471238890,0.471238890,53.999999,PASS,101,0,,PASS,0.5,0.170263470,PASS,PASS
left_shoulder_yaw,-0.141371667,0.471238890,35.099999,PASS,101,0,,PASS,0.5,0.170261185,PASS,PASS
left_elbow_yaw,-0.366519150,0.293215320,37.800001,PASS,101,0,,PASS,-0.5,0.172321787,PASS,PASS
right_hip_pitch,-0.412327408,0.027495556,25.200000,PASS,101,0,,PASS,-0.5,0.163594506,PASS,PASS
right_hip_yaw,-0.026179939,0.322013241,19.950000,PASS,101,0,,PASS,0.5,0.162198293,PASS,PASS
right_hip_roll,-0.235619448,0.235619448,27.000000,PASS,101,0,,PASS,0.5,0.172269960,PASS,PASS
right_knee_pitch,0.000000000,0.832859280,47.719322,PASS,101,0,,PASS,0.5,0.171110004,PASS,PASS
right_ankle_pitch,0.000000000,0.664159280,38.053524,PASS,101,0,,PASS,0.5,0.172350050,PASS,PASS
left_hip_pitch,-0.027495556,0.412327408,25.200000,PASS,101,0,,PASS,0.5,0.163575453,PASS,PASS
left_hip_yaw,-0.322013241,0.026179939,19.950000,PASS,101,0,,PASS,-0.5,0.162128012,PASS,PASS
left_hip_roll,-0.235619448,0.235619448,27.000000,PASS,101,0,,PASS,0.5,0.172271063,PASS,PASS
left_knee_pitch,-0.832859280,0.000000000,47.719322,PASS,101,0,,PASS,-0.5,0.171237456,PASS,PASS
left_ankle_pitch,-0.664159280,0.000000000,38.053524,PASS,101,0,,PASS,-0.5,0.172350099,PASS,PASS
