role,name,component,part,attachment,material_set,transform_readback_max_abs_error,status,servo_id,color_hex,mechanical_semantics
source_link_surface,Torso,ZEROTH01_LINK_TORSO-1,generated\solidworks\parts\ZEROTH01_LINK_TORSO.SLDPRT,Torso,True,0.000e+00,PASS,,,
source_link_surface,ankle_pitch_left,ZEROTH01_LINK_LEFT_KNEE_PITCH_MOTOR-1,generated\solidworks\parts\ZEROTH01_LINK_LEFT_KNEE_PITCH_MOTOR.SLDPRT,ankle_pitch_left,True,1.110e-16,PASS,,,
source_link_surface,ankle_pitch_right,ZEROTH01_LINK_RIGHT_KNEE_PITCH_MOTOR-1,generated\solidworks\parts\ZEROTH01_LINK_RIGHT_KNEE_PITCH_MOTOR.SLDPRT,ankle_pitch_right,True,2.220e-16,PASS,,,
source_link_surface,foot_left,ZEROTH01_LINK_FOOT_LEFT-1,generated\solidworks\parts\ZEROTH01_LINK_FOOT_LEFT.SLDPRT,foot_left,True,2.220e-16,PASS,,,
source_link_surface,foot_right,ZEROTH01_LINK_FOOT_RIGHT-1,generated\solidworks\parts\ZEROTH01_LINK_FOOT_RIGHT.SLDPRT,foot_right,True,2.220e-16,PASS,,,
source_link_surface,hand_right,ZEROTH01_LINK_LEFT_HAND-1,generated\solidworks\parts\ZEROTH01_LINK_LEFT_HAND.SLDPRT,hand_right,True,2.220e-16,PASS,,,
source_link_surface,hip_roll_left,ZEROTH01_LINK_HIP_ROLL_LEFT-1,generated\solidworks\parts\ZEROTH01_LINK_HIP_ROLL_LEFT.SLDPRT,hip_roll_left,True,0.000e+00,PASS,,,
source_link_surface,hip_roll_right,ZEROTH01_LINK_HIP_ROLL_RIGHT-1,generated\solidworks\parts\ZEROTH01_LINK_HIP_ROLL_RIGHT.SLDPRT,hip_roll_right,True,2.220e-16,PASS,,,
source_link_surface,hip_yaw_left,ZEROTH01_LINK_HIP_YAW_LEFT-1,generated\solidworks\parts\ZEROTH01_LINK_HIP_YAW_LEFT.SLDPRT,hip_yaw_left,True,2.220e-16,PASS,,,
source_link_surface,hip_yaw_right,ZEROTH01_LINK_HIP_YAW_RIGHT-1,generated\solidworks\parts\ZEROTH01_LINK_HIP_YAW_RIGHT.SLDPRT,hip_yaw_right,True,2.220e-16,PASS,,,
source_link_surface,knee_pitch_right,ZEROTH01_LINK_KNEE_PITCH_LEFT-1,generated\solidworks\parts\ZEROTH01_LINK_KNEE_PITCH_LEFT.SLDPRT,knee_pitch_right,True,2.220e-16,PASS,,,
source_link_surface,knee_pitch_right_2,ZEROTH01_LINK_KNEE_PITCH_RIGHT-1,generated\solidworks\parts\ZEROTH01_LINK_KNEE_PITCH_RIGHT.SLDPRT,knee_pitch_right_2,True,2.220e-16,PASS,,,
source_link_surface,Left_Hand,ZEROTH01_LINK_RIGHT_HAND-1,generated\solidworks\parts\ZEROTH01_LINK_RIGHT_HAND.SLDPRT,Left_Hand,True,2.220e-16,PASS,,,
source_link_surface,left_shoulder_yaw_motor,ZEROTH01_LINK_LEFT_SHOULDER_YAW_MOTOR-1,generated\solidworks\parts\ZEROTH01_LINK_LEFT_SHOULDER_YAW_MOTOR.SLDPRT,left_shoulder_yaw_motor,True,1.110e-16,PASS,,,
source_link_surface,right_shoulder_yaw_motor,ZEROTH01_LINK_RIGHT_SHOULDER_YAW_MOTOR-1,generated\solidworks\parts\ZEROTH01_LINK_RIGHT_SHOULDER_YAW_MOTOR.SLDPRT,right_shoulder_yaw_motor,True,2.220e-16,PASS,,,
